,Title,Author,Issue,Type ,Description,Date
43,Where Will You Work - A Five-Year Statistical Analysis of AALL Job Placement Listings,"Gleason, Diana",Issue 3,article,,2008
44,A Law Library Journal Centennial Timeline: Highlights from One Hundred Years of LLJ History,"Houdek, Frank G.",Issue 3,notes,Law Library Journal Centennial Feature,2008
45,By the Book: Thoughts on the Future of Our Print Collections,"Reusch, Rita",Issue 3,comments,Commentary,2008
46,Keeping up with New Legal Titles,"Atchison, Amy",Issue 3,article,Review Article,2008
47,Keeping up with New Legal Titles,"Cadra, Laura",Issue 3,article,Review Article,2008
48,Unanswerable Questions,"Whisner, Mary",Issue 3,article,Practicing Reference...,2008
49,Got Ideas,"Holcomb, Jean M.",Issue 3,article,Managing by the Book...,2008
50,In Defense of Wikipedia ,"Murley, Diane",Issue 3,article,Technology for Everyone...,2008
51,Schoolhouse Rock Is No Longer Enough: The Presidential Signing Statements Controversy and Its Implications for Library Professionals,"Wang, I-Wei",Issue 4,article,,2008
52,"Nursery of a Supreme Court Justice: The Library of James Harlan of Kentucky, Father of John Marshall Harlan","Metzmeier, Kurt X.",Issue 4,article,,2008
53,"Nursery of a Supreme Court Justice: The Library of James Harlan of Kentucky, Father of John Marshall Harlan","Campbell, Peter Scott",Issue 4,article,,2008
54,Wrestling with an Elephant: A Selected Bibliography and Resource Guide on Global Climate Change,"Lang, Isa",Issue 4,article,,2008
55,"Foreign, Comparative and International Law SIS ","Raisch, Marylin J.",Issue 4,index,Law Library Journal Centennial Feature: AALL Special Interest Section Recommended Reading Lists,2008
56,"Foreign, Comparative and International Law SIS ","Morais, Yasmin",Issue 4,index,Law Library Journal Centennial Feature: AALL Special Interest Section Recommended Reading Lists,2008
57,Keeping up with New Legal Titles,"Atchison, Amy",Issue 4,article,Review Article,2008
58,Keeping up with New Legal Titles,"Cadra, Laura",Issue 4,article,Review Article,2008
59,Practicing Reference: Thoughts for Librarians and Legal Researchers,"Nevers, Shawn G.",Issue 4,reviews,Review Article,2008
60,Seeking Inspiration,"Whisner, Mary",Issue 4,article,Practicing Reference...,2008
61,New Perspectives on following the Leader,"Holcomb, Jean M.",Issue 4,article,Managing by the Book...,2008
62,What Second Life Taught Me about Learning,"Murley, Diane",Issue 4,article,Technology for Everyone...,2008
63,Not Just Key Numbers and Keywords Anymore: How User Interface Design Affects Legal Research,"Jones, Julie M. ",Issue 1,article,,2009
64,"Legal Scholarship, Electronic Publishing, and Open Access: Transformation or Steadfast Stagnation","Plotin, Stephanie L.",Issue 1,article,,2009
65,"Peer Review and Legal Publishing: What Law Librarians Need to Know about open, Single-Blind, and Double-Blind Reviewing","McCormack, Nancy ",Issue 1,article,,2009
66,From Sheepskin Binding to Born Digital: One Hundred Years of Preservation in Law Library Journal,"Turpening, Patricia K. ",Issue 1,article,,2009
67,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 1,article,Review Article,2009
68,Keeping up with New Legal Titles,"Zell, Annmarie",Issue 1,article,Review Article,2009
69,Learning New Applications,"Whisner, Mary ",Issue 1,article,Regular Feature,2009
70,Maintaining Your Competitive Edge,"Holcolmb, Jean M.",Issue 1,article,Regular Feature,2009
71,The Power of RSS Feed,"Murley, Diane",Issue 1,article,Regular Feature,2009
72,The Twenty-First Century Law Library,"Danner, Richard A.",Issue 2,article,General Article,2009
73,The Twenty-First Century Law Library,"Kauffman, S. Blair",Issue 2,article,General Article,2009
74,The Twenty-First Century Law Library,"Palfrey, John G. ",Issue 2,article,General Article,2009
75,Research in the Wild: CALR and the Role of Informal Apprenticeship in Attorney Training,"Lihosit, Judith ",Issue 2,article,General Article,2009
76,The Effect of Economics and Electronic Resources on the Traditional Law Library Print Collection,"Runyon, Amanda M. ",Issue 2,article,General Article,2009
77,A Proposed Definition of the Term Lawyering,"Daniel, Josiah M. III",Issue 2,article,General Article,2009
78,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 2,article,Review Article,2009
79,Keeping up with New Legal Titles,"Zell, Annmarie",Issue 2,article,Review Article,2009
80,Book Review: Professional Liability Issues for Librarians and Information Professionals,"Greenfield, Elizabeth A.",Issue 2,article,Review Article,2009
81,"Reviewing Frank G. Houdek, The First Century: One Hundred Years of AALL History","Niedringhaus, Kristina L.",Issue 2,article,,2009
82,Mattress Tags and Pillow Case,"Whisner, Mary ",Issue 2,article,Regular Features,2009
83,Law Libraries in the Cloud,"Murley, Diane",Issue 2,article,Regular Features,2009
84,Profiling Minority Law Librarians: An Update,"Ballard-Thrower, Rhea",Issue 3,article,,2009
85,Profiling Minority Law Librarians: An Update,"King, Dwight",Issue 3,article,,2009
86,Profiling Minority Law Librarians: An Update,"Mills, Grace M.",Issue 3,article,,2009
87,Law Firm Legal Research Requirements for New Attorneys,"Meyer, Patrick",Issue 3,article,,2009
88,Assessing the Health of FOIA after 2000 through the Lens of the National Security Archive and Federal Government Audits,"Guy, Melissa",Issue 3,article,,2009
89,Assessing the Health of FOIA after 2000 through the Lens of the National Security Archive and Federal Government Audits,"Oberlin, Melanie",Issue 3,article,,2009
90,"Inspiring Innovation: Planning, Implementing, and Evaluating the Web 2.0 Challenge","Ginsberg, Deborah",Issue 3,article,,2009
91,"Inspiring Innovation: Planning, Implementing, and Evaluating the Web 2.0 Challenge","Kribble, Meg",Issue 3,article,,2009
92,"Inspiring Innovation: Planning, Implementing, and Evaluating the Web 2.0 Challenge","Shucha, Bonnie",Issue 3,article,,2009
93,Keeping up with New Legal Titles,"Miller, Creighton J.",Issue 3,article,Review Article,2009
94,Keeping up with New Legal Titles,"Zell, Annmarie ",Issue 3,article,Review Article,2009
95,Getting Facts Straight (and Writing Well Too),"Whisner, Mary ",Issue 3,article,Regular Feature,2009
96,Plays Well with Others,"Holcomb, Jean M.",Issue 3,article,Regular Feature,2009
97,A Selective History of Technology in Law Libraries,"Murley, Diane",Issue 3,article,Regular Feature,2009
98,The Law Librarian of the Twentieth and Twenty-First Centuries: A Figuration in Flux,"Belniak, Theodora",Issue 4,article,General Article,2009
99,A Defense of the Public Domain: A Scholarly Essay,"Gasaway, Laura N.",Issue 4,article,General Article,2009
100,Define Leader: The Definition and Development of Law Librarians as Leaders,"Mackoff, Barbara L. ",Issue 4,article,General Article,2009
101,Protecting Intellectual Property in China: A Selective Bibliography and Resource for Research,"Hu, Robert H. ",Issue 4,article,General Article,2009
102,The Twenty-First Century Law Library: A Law Firm's Librarian's Thoughts,"Heller, Heidi W. ",Issue 4,comments,Commentary,2009
103,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 4,article,Review Article,2009
104,Keeping up with New Legal Titles,"Zell, Annmarie",Issue 4,article,Review Article,2009
105,"The United States Code, Prima Facie Evidence, and Positive Law","Whisner, Mary ",Issue 4,article,Regular Feature,2009
106,Glass Half Full,"Holcolmb, Jean M.",Issue 4,article,Regular Feature,2009
107,A Learning Experience,"Murley, Diane",Issue 4,article,Regular Feature,2009
108,Dissents from the Bench: A Compilation of Oral Dissents by U.S. Supreme Court Justices,"Duffy, Jill",Issue 1,article,,2010
109,Dissents from the Bench: A Compilation of Oral Dissents by U.S. Supreme Court Justices,"Lambert, Elizabeth",Issue 1,article,,2010
110,Indexing and Full-Text Coverage of Law Review Articles in Nonlegal Databases: An Initial Study,"Koulikov, Mikhail",Issue 1,article,,2010
111,Ending Copyright Claims in State Primary Legal Materials: Toward an Open Source Legal System,"Fortney, Katie",Issue 1,article,,2010
112,Sources of Washington State Legal History: An Annotated Bibliography,"Sterling, W. Clinton",Issue 1,index,,2010
113,The Technology of Law,"Hibbitts, Bernard J.",Issue 1,notes,Essay,2010
114,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 1,index,Review Article,2010
115,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 1,index,Review Article,2010
116,Change and Continuity (Rip Van Winkle's Reference Office),"Whisner, Mary",Issue 1,article,Practicing Reference...,2010
117,Diversity in the Profession,"Gabriel, Raquel J.",Issue 1,article,Diversity Dialogues...,2010
118,Emotional Intelligence: What Works at Work,"Maxwell, Lynne F.",Issue 1,article,Making Management Work...,2010
119,Cornerstones of Law Libraries for an Era of Digital-Plus,"Palfrey, John",Issue 2,article,,2010
120,Time to Blossom: An Inquiry into Bloom's Taxonomy as a Hierarchy and Means for Teaching Legal Research Skills,"Callister, Paul D.",Issue 2,article,,2010
121,The Relevance of Results Generated by Human Indexing and Computer Algorithms: A Study of West's Headnotes and Key Numbers and LexisNexis's Headnotes and Topics,"Mart, Susan Nevelow",Issue 2,article,,2010
122,The Universe of Thinkable Thoughts versus the Facts of Empirical Research,"Custer, Joseph A.",Issue 2,article,,2010
123,Copyright Provisions in Law Journal Publication Agreements,"Keele, Benjamin J.",Issue 2,article,,2010
124,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 2,index,Review Article,2010
125,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 2,index,Review Article,2010
126,Learning from Reference Experience,"Whisner, Mary",Issue 2,article,Practicing Reference...,2010
127,Collaboration versus Communication: Selecting the Appropriate Tool,"Jackson, Darla W.",Issue 2,article,Thinking about Technology...,2010
128,Twitter,"Gragg, Phillip",Issue 2,article,Back and Forth...,2010
129,Twitter,"Sellers, Christine L.",Issue 2,article,Back and Forth...,2010
130,First Amendment Limits on Library Collection Management,"Klinefelter, Anne",Issue 3,article,,2010
131,The Creation and Transmission of Justinian's Novels,"Kearley, Timothy G.",Issue 3,article,,2010
132,Finding the Middle Ground in Collection Development: How Academic Law Libraries Can Shape Their Collections in Response to the Call for More Practice-Oriented Legal Education,"Street, Leslie A.",Issue 3,article,,2010
133,Finding the Middle Ground in Collection Development: How Academic Law Libraries Can Shape Their Collections in Response to the Call for More Practice-Oriented Legal Education,"Runyon, Amanda M.",Issue 3,article,,2010
134,"The Official Bulletin, 1917-1919: A Proto-Federal Register","Emery, Robert A.",Issue 3,article,,2010
135,Medico-Legal Research Using Evidence-Based Medicine,"Young, Caroline",Issue 3,article,,2010
136,Keeping up with the New Legal Titles,"Zell, Annmarie Jean",Issue 3,article,Review Article,2010
137,Keeping up with the New Legal Titles,"Miller, Creighton J.",Issue 3,article,Review Article,2010
138,Enact Locally,"Whisner, Mary",Issue 3,article,Practicing Reference...,2010
139,Tying Diversity to Organizational Culture,"Gabriel, Raquel J.",Issue 3,article,Diversity Dialogues...,2010
140,2010: The Year of the iPad,"Jackson, Darla W.",Issue 3,article,Thinking about Technology...,2010
141,The European Human Rights System,"Hart, James W.",Issue 4,article,,2010
142,Way beyond Legal Research: Understanding the Research Habits of Legal Scholars,"Davidson, Stephanie",Issue 4,article,,2010
143,Breaking Down Link Rot: The Chesapeake Project Legal Information Archive's Examination of URL Stability,"Rhodes, Sarah",Issue 4,article,,2010
144,The Quality of Academic Law Library Online Catalogs and Its Effect on Information Retrieval,"Briscoe, Georgia ",Issue 4,article,,2010
145,The Historical and Legal Underpinnings of Access to Public Documents,"Martin, Shannon E.",Issue 4,article,,2010
146,The Historical and Legal Underpinnings of Access to Public Documents,"Lanosga, Gerry",Issue 4,article,,2010
147,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 4,index,Review Article,2010
148,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 4,index,Review Article,2010
149,The Rewards of Tedium,"Whisner, Mary ",Issue 4,article,Practicing Reference...,2010
150,The Future of Library Collections,"Sellers, Christine L.",Issue 4,article,Back and Forth...,2010
151,The Future of Library Collections,"Gragg, Phillip",Issue 4,article,Back and Forth...,2010
152,The Need for Faculty Status and Uniform Tenure Requirements for Law Librarians,"Parker, Carol A.",Issue 1,article,,2011
153,The Durham Statement Two Years Later: Open Access in the Law School Journal Environment,"Danner, Richard A.",Issue 1,article,,2011
154,The Durham Statement Two Years Later: Open Access in the Law School Journal Environment,"Leong, Kelly",Issue 1,article,,2011
155,The Durham Statement Two Years Later: Open Access in the Law School Journal Environment,"Miller, Wayne V.",Issue 1,article,,2011
156,HeinOnline and Law Review Citation Patterns,"Lowe, M. Sara",Issue 1,article,,2011
157,HeinOnline and Law Review Citation Patterns,"Wallace, Karen L.",Issue 1,article,,2011
158,A Survey of Electronic Research Alternatives to LexisNexis and Westlaw in Law Firms,"Justiss, Laura K.",Issue 1,article,,2011
159,Law Library Budgets in Hard Times,"Fitchett, Taylor",Issue 1,article,,2011
160,Law Library Budgets in Hard Times,"Hambleton, James",Issue 1,article,,2011
161,Law Library Budgets in Hard Times,"Hazelton, Penny",Issue 1,article,,2011
162,Law Library Budgets in Hard Times,"Klinefelter, Anne",Issue 1,article,,2011
163,"Thinking, Writing, Sharing, Blogging: Lessons Learned from Implementing a Law Library Blog","Steele, Jordon",Issue 1,article,,2011
164,"Thinking, Writing, Sharing, Blogging: Lessons Learned from Implementing a Law Library Blog","Greenlee, Ed",Issue 1,article,,2011
165,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 1,reviews,Review Article,2011
166,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 1,reviews,Review Article,2011
167,Work Crunch,"Whisner, Mary",Issue 1,article,Practicing Reference...,2011
168,Standard Bar Codes Beware - Smartphone Users May Prefer QR Codes,"Jackson, Daria W.",Issue 1,article,Thinking about Technology...,2011
169,Black's Law Dictionary: The Making of an American Standard,"Yates, Sarah",Issue 2,article,,2011
170,Tenure Advice for Law Librarians and Their Directors,"Parker, Carol A.",Issue 2,article,,2011
171,"The Trap of Medium-Neutral Citation, or Why a Historical-Critical Edition of State Constitutions is Necessary","Dippel, Horst",Issue 2,article,,2011
172,Database Ownership: Myth or Reality,"Smith, Sallie",Issue 2,article,,2011
173,Database Ownership: Myth or Reality,"Leers, Susanna",Issue 2,article,,2011
174,Database Ownership: Myth or Reality,"Roncevich, Patricia",Issue 2,article,,2011
175,Condominium Homeownership in the United States: A Selected Annotated Bibliography of Legal Sources,"Bennett, Donna S.",Issue 2,article,,2011
176,A Response to the Durham Statement Two Years Later,"Leary, Margaret A.",Issue 2,comments,Commentary,2011
177,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 2,article,Review Article,2011
178,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 2,article,Review Article,2011
179,Book Review: Introduction to Law Firm Practice,"Greenfield, Elizabeth A.",Issue 2,article,Review Article,2011
180,"Relevance, Choices, and the Goldilocks Problem","Whisner, Mary",Issue 2,article,Practicing Reference,2011
181,Finding Common Ground,"Gabriel, Raquel J.",Issue 2,article,Diversity Dialogues,2011
182,The Role of Conferences,"Sellers, Christine",Issue 2,article,Back and Forth,2011
183,The Role of Conferences,"Gragg, Phillip",Issue 2,article,Back and Forth,2011
184,Universal Citation and the American Association of Law Libraries: A White Paper,"Bilings, Carol",Issue 3,article,,2011
185,Universal Citation and the American Association of Law Libraries: A White Paper,"Cannan, John",Issue 3,article,,2011
186,Universal Citation and the American Association of Law Libraries: A White Paper,"Carlson, Kathy",Issue 3,article,,2011
187,Universal Citation and the American Association of Law Libraries: A White Paper,"Kauger, Yvonne",Issue 3,article,,2011
188,Does WestlawNext Really Change Everything - The Implications of WestlawNext on Legal Research,"Wheeler, Ronald E.",Issue 3,article,,2011
189,A Different Question of Open Access: Is There a Public Access Right to Academic Libraries in the United States and Canada,"Kaufman, Amy",Issue 3,article,,2011
190,Task Mastery in Legal Research Instruction,"Cordon, Matthew C.",Issue 3,article,,2011
191,Should You Use a Textbook to Teach Legal Research,"Johnson, Nancy P.",Issue 3,article,,2011
192,Technology Management Trends in Law Schools,"Watson, Carol A.",Issue 3,article,,2011
193,Technology Management Trends in Law Schools,"Reeves, Larry",Issue 3,article,,2011
194,Editing Justinian's Corpus: A Study of the Paul Krueger Archive,"Hessler, John",Issue 3,article,,2011
195,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 3,article,Review Article,2011
196,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 3,article,Review Article,2011
197,Everyday Research,"Whisner, Mary",Issue 3,article,Practicing Reference,2011
198,"Watson, Answer Me This: Will You Make Librarians Obsolete or Can I Use Free and Open Source Software and Cloud Computing to Ensure a Bright Future","Jackson, Darla W.",Issue 3,article,Thinking about Technology,2011
199,Memorial and Appreciation for Earl C. Borgeson (1922-2010),"Houdek, Frank G.",Issue 3,comments,Tribute to Earl C. Borgeson,2011
200,Earl C. Borgeson's Ten Rules for Law Library Management,"Daly, Gail M.",Issue 3,comments,Tribute to Earl C. Borgeson,2011
201,Building a Collaborative Digital Collection: A Necessary Evolution in Libraries,"Wu, Michelle M.",Issue 4,article,,2011
202,Citation Advantage of Open Access Legal Scholarship,"Donovan, James M.",Issue 4,article,,2011
203,Citation Advantage of Open Access Legal Scholarship,"Watson, Carol A.",Issue 4,article,,2011
204,The Practitioners' Council: Connecting Legal Research Instruction and Current Legal Research Practice,"Armond, David L.",Issue 4,article,,2011
205,The Practitioners' Council: Connecting Legal Research Instruction and Current Legal Research Practice,"Nevers, Shawn G.",Issue 4,article,,2011
206,The Road Not Yet Taken: How Law Student Information Literacy Standards Address Identified Issues in Legal Research Education and Training,"Kim-Prieto, Dennis",Issue 4,article,,2011
207,The Use of Non-MARC Metadata in AALL Libraries: A Baseline Study,"Richards, Robert ",Issue 4,article,,2011
208,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 4,article,Review Article,2011
209,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 4,article,Review Article,2011
210,Writing Buddies,"Whisner, Mary ",Issue 4,article,Practicing Reference,2011
211,Managing Conflict,"Gabriel, Raquel J. ",Issue 4,article,Diversity Dialogues,2011
212,"Dress for Success - The Battle for Class, Comfort, and Sexual Equality","Sellers, Christine L.",Issue 4,article,Back and Forth,2011
213,"Dress for Success - The Battle for Class, Comfort, and Sexual Equality","Gragg, Phillip",Issue 4,article,Back and Forth,2011
214,In Praise of Morris L. Cohen's Bibliography of Early American Law,"Cohen, Daniel A.",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
215,Morris L. Cohen: A Reminiscence,"Arnold, Morris S.",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
216,Memories of Morris - And How I Use His BEAL,"Luttrell, Jordan D.",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
217,Morris Cohen and Rare Book School,"Warrington, David",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
218,Morris Cohen and the Art of Book Collecting,"Widener, Michael",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
219,Cornerstones for Enduring Law Libraries: Morris Cohen's Influence at Yale,"Kauffman, S. Blair",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
220,Birth of a Nutshell: Morris Cohen in the 1960s,"Olson, Kent C.",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
221,The End of Scholarly Bibliography: Reconceptualizing Law Librarianship,"Berring, Robert C.",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
222,Appeals to the Privy Council before American Independence: An Annotated Digital Catalogue,"O'Connor, Sharon Hamby",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
223,Appeals to the Privy Council before American Independence: An Annotated Digital Catalogue,"Bilder, Mary Sarah",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
224,Blackstone and Bibliography: In Memoriam Morris Cohen,"Prest, Wilfrid",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
225,Booksellers in Court: Approaches to the Legal History of Copyright in England before 1842,"Raven, James",Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
226,Most Congenial Lawyer/Bibliographer,"Whisner, Mary",Issue 1,article,A Tribute to Morris L. Cohen (1927-2010),2012
227,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 1,article,Review Article,2012
228,Keeping up with New Legal Titles,"Miller, Creighton J.",Issue 1,article,Review Article,2012
229,"Restoring the Public Library Ethos: Copyright, E-Licensing, and the Future of Librarianship","Cross, William M.",Issue 2,article,,2012
230,Resource-Based Learning and Course Design: A Brief Theoretical Overview and Practical Suggestions,"Butler, Margaret",Issue 2,article,,2012
231,WikiLeaks: A Guide for American Law Librarians,"Kelly, James P. Jr.",Issue 2,article,,2012
232,Cancellation of Print Primary Sources in Canadian Academic Law Libraries,"McCormack, Nancy",Issue 2,article,,2012
233,Donating and Procuring Organs: An Annotated Bibliography,"Sirico, Louis J. Jr. ",Issue 2,article,,2012
234,Keeping up with New Legal Titles,"Zell, Annmarie Jean",Issue 2,article,Review Article,2012
235,Keeping up with New Legal Titles,"Miller, Creighton J.",Issue 2,article,Review Article,2012
236,Fifty More Constitutions,"Whisner, Mary",Issue 2,article,Practicing Reference,2012
237,WestlawNext and Lexis Advance,"Sellers, Christine L.",Issue 2,article,Back and Forth,2012
238,WestlawNext and Lexis Advance,"Gragg, Phillip",Issue 2,article,Back and Forth,2012
239,Addressing the Emerging Majority: Racial and Ethnic Diversity in Law Librarianship in the Twenty-First Century,"Thurston, Alyssa",Issue 3,article,,2012
240,How Librarians Can Help Improve Law Journal Publishing,"Keele, Benjamin J.",Issue 3,article,,2012
241,How Librarians Can Help Improve Law Journal Publishing,"Pearse, Michelle",Issue 3,article,,2012
242,The Long Tail of Legal Information: Legal Reference Service in the Age of the Content Farm,"Sims, R. Lee",Issue 3,article,,2012
243,The Long Tail of Legal Information: Legal Reference Service in the Age of the Content Farm,"Munoz, Roberta",Issue 3,article,,2012
244,A Survey of Index to Foreign Legal Periodicals Users and Its Implications for Future Developments of the Index,"Dingle, Lesley",Issue 3,article,,2012
245,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 3,article,Review Article,2012
246,Keeping up with New Legal Titles,"Zell, Annmarie",Issue 3,article,Review Article,2012
247,Marginal Workers: How Legal Fault Lines Divide Workers and Leave Them without Protection,"Sayward, Jacob",Issue 3,reviews,Book Review,2012
248,Negotiating Weaknesses,"Whisner, Mary",Issue 3,article,Practicing Reference,2012
249,"Steve Jobs Was Right about HTML5, but Was He Right about Digital Publishing","Jackson, Darla W.",Issue 3,article,Thinking about Technology,2012
250,Dealing with Stress,"Gabriel, Raquel J.",Issue 3,article,Diversity Dialogues,2012
251,"The ABA, the AALL, the AALS, and the Duplication of Legal Publications","Danner, Richard A.",Issue 4,article,,2012
252,Temptations of the Sirens: Ethical Issues in Libraries,"Cihak, Herbert E.",Issue 4,article,,2012
253,Temptations of the Sirens: Ethical Issues in Libraries,"Howland, Joan S.",Issue 4,article,,2012
254,Degree Pedigree: Assessing the Effect of Degree-Granting Institutions' Ranks on Prospective Employment at Academic Law Libraries,"Ahlbrand, Ashley",Issue 4,article,,2012
255,Degree Pedigree: Assessing the Effect of Degree-Granting Institutions' Ranks on Prospective Employment at Academic Law Libraries,"Johnson, Michael",Issue 4,article,,2012
256,Driving Pedestrian Traffic to Law Journals,"Widener, Michael N.",Issue 4,article,,2012
257,Keeping up with New Legal Titles,"Miller, Creighton J. Jr.",Issue 4,article,Review Article,2012
258,Keeping up with New Legal Titles,"Zell, Annmarie",Issue 4,article,Review Article,2012
259,Books on My Desk,"Whisner, Mary",Issue 4,article,Regular Feature,2012
