Title,Author,Citation,Issue,Type ,Description,Year
Negotiating Weaknesses,"Whisner, Mary",104 Law Libr. J. 455 (2012),Issue 3,article,Practicing Reference,2012
"Steve Jobs Was Right about HTML5, but Was He Right about Digital Publishing","Jackson, Darla W.",104 Law Libr. J. 461 (2012),Issue 3,article,Thinking about Technology,2012
Dealing with Stress,"Gabriel, Raquel J.",104 Law Libr. J. 471 (2012),Issue 3,article,Diversity Dialogues,2012
"The ABA, the AALL, the AALS, and the Duplication of Legal Publications","Danner, Richard A.",104 Law Libr. J. 485 (2012),Issue 4,article,,2012
Temptations of the Sirens: Ethical Issues in Libraries,"Cihak, Herbert E.;Howland, Joan S.",104 Law Libr. J. 531 (2012),Issue 4,article,,2012
Degree Pedigree: Assessing the Effect of Degree-Granting Institutions' Ranks on Prospective Employment at Academic Law Libraries,"Ahlbrand, Ashley;Johnson, Michael",104 Law Libr. J. 553 (2012),Issue 4,article,,2012
Driving Pedestrian Traffic to Law Journals,"Widener, Michael N.",104 Law Libr. J. 569 (2012),Issue 4,article,,2012
Books on My Desk,"Whisner, Mary",104 Law Libr. J. 597 (2012),Issue 4,article,Regular Feature,2012
Back and Forth: Library Space,"Sellers, Christine L.;Gragg, Phillip",104 Law Libr. J. 607 (2012),Issue 4,article,Regular Feature,2012
How Federal Statutes Are Named,"Strause, Renata E.B.;Bennett, Allyson R.;Tully, Caitlin B.;Bellis, M. Douglass",105 Law Libr. J. 7 (2013),Issue 1,article,,2013
The Public Mission of the Public Law School Library,"Lenz, Connie",105 Law Libr. J. 31 (2013),Issue 1,article,,2013
Forensic Bibliography: Reconstructing the Library of George Wythe,"Tesar, Linda K.",105 Law Libr. J. 57 (2013),Issue 1,article,,2013
"Information Is Cheap, but Meaning Is Expensive: Building Analytical Skill into Legal Research Instruction","Harker, Yasmin Sokkar",105 Law Libr. J. 79 (2013),Issue 1,article,,2013
Bitten by the Reading Bug,"Whisner, Mary",105 Law Libr. J. 113 (2013),Issue 1,article,Regular Feature,2013
A Legislative History of the Affordable Care Act: How Legislative Procedure Shapes Legislative History,"Cannan, John",105 Law Libr. J. 131 (2013),Issue 2,article,,2013
Library Services for the Self-Interested Law School: Enhancing the Visibility of Faculty Scholarship,"Canick, Simon",105 Law Libr. J. 175 (2013),Issue 2,article,,2013
Training in FCIL Librarianship for Tomorrow's World,"Agrawal, Neel Kant",105 Law Libr. J. 199 (2013),Issue 2,article,,2013
Other Uses of Legislative History,"Whisner, Mary",105 Law Libr. J. 243 (2013),Issue 2,article,Regular Feature: Practicing Reference,2013
"How to Impress Your Boss, Win Friends, and Influence People","Maxwell, Lynne F.",105 Law Libr. J. 255 (2013),Issue 2,article,Regular Feature: Making Management Work,2013
Challenging the Status Quo,"Gabriel, Raquel J.",105 Law Libr. J. 263 (2013),Issue 2,article,Regular Feature: Diversity Dialogues,2013
Academic Libraries and the Crisis in Legal Education,"Tung, Genevieve Blake",105 Law Libr. J. 275 (2013),Issue 3,article,,2013
Resources to Begin the Study of Jewish Law in Conservative Judaism,"Hollander, David",105 Law Libr. J. 305 (2013),Issue 3,article,,2013
Issues and Trends in Collection Development for East Asian Legal Materials,"Lee, Jootaek;Zhang, Xiaomeng;Okuhara, Keiko;Ma, Evelyn",105 Law Libr. J. 321 (2013),Issue 3,article,,2013
